Agent Name,Agent Company,Price,Address Line 1,Address Line 2,Bedrooms,Bathrooms,Parking,Floor Space
Carolina  Hernandez,Gotham Property,$525,"4.4/201 Spring Street,,",MELBOURNE VIC 3000,2 Beds,1 Bath,− Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Siobhan Sellars,Buxton Bentleigh Rentals,"$1,200.00","3C Vautier Street,",ELWOOD VIC 3184,3 Beds,2 Baths,1 Parking,N/A
Brad Graham,Gary Peer,$370 weekly,"14/36 Lillimur Rd,",ORMOND VIC 3204,1 Bed,1 Bath,1 Parking,N/A
Dragan Mrkela,Biggin Scott Elsternwick,"$1,395 per week","34 Morton Street,",ELSTERNWICK VIC 3185,3 Beds,2 Baths,2 Parking,N/A
Darren McMullin,Kay & Burton Stonnington,$650 Per Week,"116/55 Queens Road,",MELBOURNE VIC 3004,1 Bed,1 Bath,1 Parking,N/A
Anna Nguyen,Life Property Management,$950,"610/31 Wellington Street,",COLLINGWOOD VIC 3066,2 Beds,2 Baths,1 Parking,N/A
Ben McDonald,Buxton Real Estate Brighton,$625.00,"7/142 New Street,",BRIGHTON VIC 3186,2 Beds,1 Bath,1 Parking,N/A
Jemma Wilksch,Chisholm & Gamon Elwood,$650 weekly,"116/1 Danks Street West,",PORT MELBOURNE VIC 3207,2 Beds,1 Bath,1 Parking,N/A
Andrea Picone,Dingle Partners,$625 pw,"602/285 City Road,",SOUTHBANK VIC 3006,1 Bed,1 Bath,1 Parking,N/A
Ben McDonald,Buxton Real Estate Brighton,"$1,590.00","37 St James Park Drive,",BRIGHTON VIC 3186,4 Beds,3 Baths,2 Parking,N/A
Abir Ayadi,Dingle Partners,$480 pw,"204/34 Princeton Terrace,",BUNDOORA VIC 3083,2 Beds,1 Bath,1 Parking,N/A
Ainslee Grant,Buxton Real Estate Brighton,$925.00,"2/841 Hampton Street,",BRIGHTON VIC 3186,3 Beds,2 Baths,2 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Samantha Lee,Gary Peer,$630 weekly,"4/2 Avoca Avenue,",ELWOOD VIC 3184,2 Beds,1 Bath,1 Parking,N/A
Steven Biggins,RT Edgar Glen Eira,$850.00,"3/11 Narong Road,",CAULFIELD NORTH VIC 3161,2 Beds,2 Baths,1 Parking,N/A
Kate Morgan,Marshall White Mornington Peninsula,$700.00,"21 Herbert Street,",MORNINGTON VIC 3931,3 Beds,2 Baths,2 Parking,N/A
Molly Rogerson,Hodges Real Estate Sandringham,"$1,300.00","72B Ardoyne Street,",BLACK ROCK VIC 3193,3 Beds,2 Baths,2 Parking,N/A
Molly Rogerson,Hodges Real Estate Sandringham,$550.00,"3/19a Gordon Street,",BEAUMARIS VIC 3193,2 Beds,1 Bath,1 Parking,N/A
Veronica Coco,Buxton Bentleigh Rentals,$720.00,"3B Wedd Street,",CHELTENHAM VIC 3192,3 Beds,2 Baths,1 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kerttu  Luik,Buxton St Kilda,$540.00,"6/39 Eildon Road,",ST KILDA VIC 3182,1 Bed,1 Bath,1 Parking,N/A
Matthew Swinnerton,Ray White Oakleigh,$700,"1/112 Haughton Road,",OAKLEIGH VIC 3166,3 Beds,2 Baths,2 Parking,N/A
JORDAN PALMA,Ray White CRE,$800 per week,"408/88 Cambridge Street,",COLLINGWOOD VIC 3066,2 Beds,2 Baths,1 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Preet Sandhu,BigginScott Richmond,$500 weekly,"503/14 David Street,",RICHMOND VIC 3121,1 Bed,1 Bath,1 Parking,N/A
Christian Neofotistos,Ray White Brunswick,$720,"2/11 Merrifield Street,",BRUNSWICK VIC 3056,2 Beds,1 Bath,1 Parking,N/A
Andrea Picone,Dingle Partners,$650 pw,"2204/250 City Road,",SOUTHBANK VIC 3006,2 Beds,1 Bath,− Parking,N/A
Andrea Picone,Dingle Partners,$485 pw,"1802/250 City Road,",SOUTHBANK VIC 3006,1 Bed,1 Bath,− Parking,N/A
Christian Neofotistos,Ray White Brunswick,$525,"2/86 Pearson Street,",BRUNSWICK WEST VIC 3055,2 Beds,1 Bath,1 Parking,N/A
Jack Alexander,Marshall White Port Phillip,$860.00,"40 Herbert Street,",ALBERT PARK VIC 3206,2 Beds,1 Bath,− Parking,N/A
Jasmine Palioportas,Buxton Oakleigh,$550.00,"606/2A Clarence Street,",MALVERN EAST VIC 3145,1 Bed,1 Bath,1 Parking,N/A
Lachlan Hardiman,Gary Peer,$750 weekly,"1/10 Jasper Rd,",BENTLEIGH VIC 3204,3 Beds,1 Bath,2 Parking,N/A
Grace Morley,Marshall White Stonnington,$525.00,"406/442 St Kilda Road,",MELBOURNE VIC 3004,1 Bed,1 Bath,1 Parking,N/A
Jayde Cashion,Jellis Craig Fitzroy,"$1,200.00","2a Graves Street,",ESSENDON VIC 3040,4 Beds,3 Baths,2 Parking,N/A
Angus Brayshaw,Richardson & Wrench Projects Victoria,$500 per week,"303B/72 Ascot Vale Road,",FLEMINGTON VIC 3031,1 Bed,1 Bath,1 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Debbie Davut,Kay & Burton Stonnington,$2000 Per Week,"4/40 Caroline Street,",SOUTH YARRA VIC 3141,3 Beds,2 Baths,2 Parking,N/A
Preet Sandhu,BigginScott Richmond,$700 weekly,"12/59 Westbank Terrace,",RICHMOND VIC 3121,2 Beds,1 Bath,1 Parking,N/A
Leasing Concierge,Gary Peer,$945 weekly,"51 Elm Grove,",BALACLAVA VIC 3183,3 Beds,1 Bath,1 Parking,N/A
Shakira Jaisingh-Fluitsma,Chisholm & Gamon Elwood,$450 weekly,"8/9 Dickens Street,",ELWOOD VIC 3184,2 Beds,1 Bath,− Parking,N/A
Dimitra Kerhoulas,Biggin Scott Elsternwick,$450 per week,"201/99 Hawthorn Road,",CAULFIELD NORTH VIC 3161,1 Bed,1 Bath,1 Parking,N/A
Robert  Silverman,Gary Peer,$440 weekly,"8/37 Rosstown Road,",CARNEGIE VIC 3163,1 Bed,1 Bath,1 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kim Te,Motion Property,$950 per week,"43 Birmingham Street,",SPOTSWOOD VIC 3015,3 Beds,3 Baths,2 Parking,N/A
Kim Te,Motion Property,$950 per week,"11 Birmingham Street,",SPOTSWOOD VIC 3015,3 Beds,3 Baths,2 Parking,N/A
Jade Sterland,Jellis Craig Port Phillip Pty Ltd,$750.00 per week,"1204/22 Dorcas Street,",SOUTHBANK VIC 3006,2 Beds,2 Baths,1 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tom Koller,Biggin & Scott Stonnington,$575 Per Week,"2/40 Millswyn Street,",SOUTH YARRA VIC 3141,2 Beds,1 Bath,1 Parking,N/A
Oscar Sturm,Jellis Craig & Company Pty Ltd,"$1,050.00","59 Kerr Street,",FITZROY VIC 3065,3 Beds,2 Baths,− Parking,N/A
Liam Mulligan,BigginScott Richmond,$725 weekly,"206/1 Acacia Pl,",ABBOTSFORD VIC 3067,2 Beds,2 Baths,1 Parking,N/A
Maria Gutterson,Dingle Partners,$610 pw,"1003/109 Clarendon Street,",SOUTHBANK VIC 3006,2 Beds,1 Bath,− Parking,N/A
Liz Haughey,Buyer's Advocate,$740,"9/57 Ormond Esp,",ELWOOD VIC 3184,2 Beds,1 Bath,1 Parking,N/A
Priyanka Basak,McGrath St Kilda,$970 pw,"27A Denman Avenue,",ST KILDA EAST VIC 3183,3 Beds,1 Bath,2 Parking,N/A
Chris Bai,Motion Property,$600 per week,"116/89 Atherton Road,",OAKLEIGH VIC 3166,2 Beds,2 Baths,1 Parking,N/A
Samridhi Munjal,Dingle Partners,$525 pw,"2702/250 City Road,",SOUTHBANK VIC 3006,1 Bed,1 Bath,− Parking,N/A
Tom Koller,Biggin & Scott Stonnington,$650 Per Week,"9/15 Wrexham Road,",WINDSOR VIC 3181,1 Bed,1 Bath,1 Parking,N/A
David Hua,Ray White Oakleigh,$600,"1/76 Moriah Street,",CLAYTON VIC 3168,4 Beds,1 Bath,2 Parking,N/A
Lorena Lore,GBE Property Investments,$500,"808/243 Franklin Street,",MELBOURNE VIC 3000,2 Beds,1 Bath,− Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Matthew Swinnerton,Ray White Oakleigh,$520,"3/13 Kalymna Grove,",CHADSTONE VIC 3148,3 Beds,1 Bath,1 Parking,N/A
Richard Beck,Beck & Small Property,"$2,300.00","2 Landcox Street,",BRIGHTON EAST VIC 3187,4 Beds,2 Baths,3 Parking,N/A
Lorena Lore,GBE Property Investments,LEASED,"50 Sunnybank Drive,",POINT COOK VIC 3030,4 Beds,3 Baths,2 Parking,N/A
Evelyne Surja,Kay & Burton Stonnington,$1300 Per Week,"4211/7 Riverside Quay,",SOUTHBANK VIC 3006,3 Beds,2 Baths,2 Parking,N/A
Kate Humphreys,Marshall White Stonnington,"$1,200.00","8 Silver Street,",MALVERN VIC 3144,3 Beds,2 Baths,2 Parking,N/A
Matthew Swinnerton,Ray White Oakleigh,$560,"6/1407 Dandenong Road,",MALVERN EAST VIC 3145,2 Beds,2 Baths,1 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Harry Whitford,BigginScott Richmond,$550 weekly,"410/381 Punt Rd,",CREMORNE VIC 3121,1 Bed,1 Bath,1 Parking,N/A
Caleb Griffin,Kay & Burton Stonnington,$1250 Per Week,"78A Argyle Street,",ST KILDA VIC 3182,3 Beds,2 Baths,1 Parking,N/A
Samantha Lee,Gary Peer,$740 weekly,"76 Stanley Rd,",KEYSBOROUGH VIC 3173,4 Beds,2 Baths,2 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DIANA JURISIC,Ray White CRE,$600 per week,"402V/162 Albert Street,",EAST MELBOURNE VIC 3002,2 Beds,1 Bath,1 Parking,N/A
Leasing Concierge,Gary Peer,$450 weekly,"7/1 Wanda Rd,",CAULFIELD NORTH VIC 3161,2 Beds,1 Bath,1 Parking,N/A
DIANA JURISIC,Ray White CRE,$625 per week,"307M/201 Powlett Street,",EAST MELBOURNE VIC 3002,2 Beds,1 Bath,1 Parking,N/A
Michelle De Luca,HEDLEY REAL ESTATE,$550 weekly,"5/15 Alexandra Avenue,",ELSTERNWICK VIC 3185,2 Beds,1 Bath,1 Parking,N/A
Andrew D'Aprano,NICOLE GERVASI PROPERTY GROUP,$475 per week,"1/1 Gracedale Court,",STRATHMORE VIC 3041,2 Beds,1 Bath,1 Parking,N/A
Simone Buckley,Buxton Real Estate Sandringham,"$1,000.00","1/2 Bayview Road,",BEAUMARIS VIC 3193,3 Beds,2 Baths,2 Parking,N/A
Danielle Crumblehulme,Marshall White Stonnington,$400.00,"9/9 Saint James Road,",ARMADALE VIC 3143,1 Bed,1 Bath,1 Parking,N/A
Harry Whitford,BigginScott Richmond,$650 weekly,"35 Huckerby Street,",RICHMOND VIC 3121,2 Beds,1 Bath,− Parking,N/A
Richard Beck,Beck & Small Property,$475.00,"16/100 Rowena Parade,",RICHMOND VIC 3121,1 Bed,1 Bath,1 Parking,N/A
Barbara Thomas,Thomas Moreland Real Estate,$750,"C003/14 Little Miller Street,",BRUNSWICK EAST VIC 3057,2 Beds,1 Bath,− Parking,N/A
Katie Davidson,Buxton Real Estate Dingley Village,$650.00,"14 Botany Court,",DINGLEY VILLAGE VIC 3172,3 Beds,2 Baths,2 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Karen Pearce,Thomson,$400 per week,"2/7 Raglan Street,",ST KILDA EAST VIC 3183,1 Bed,1 Bath,− Parking,N/A
Danielle Crumblehulme,Marshall White Stonnington,$550.00,"310/14 Elizabeth Street,",MALVERN VIC 3144,1 Bed,1 Bath,1 Parking,N/A
Mikaele Horsnell,Harcourts Melbourne City,$425 per week,"503/279 Wellington Parade,",EAST MELBOURNE VIC 3002,1 Bed,1 Bath,− Parking,N/A
Jayde Cashion,Jellis Craig Fitzroy,$675.00,"307/496-500 Brunswick Street,",FITZROY NORTH VIC 3068,2 Beds,2 Baths,1 Parking,N/A
Tina Jin,Marshall White Stonnington,"$1,350.00","33A Turnbull Avenue,",TOORAK VIC 3142,4 Beds,2 Baths,2 Parking,N/A
Artem Chereshkov,McGrath St Kilda,$550,"5/150 Alma Road,",ST KILDA EAST VIC 3183,2 Beds,1 Bath,1 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Grace Gordon,Maison Aust.,"$1,050 per week","31 Leila Street,",PRAHRAN VIC 3181,3 Beds,2 Baths,− Parking,N/A
David Hua,Ray White Oakleigh,$500,"9 Nioka Street,",CHADSTONE VIC 3148,3 Beds,1 Bath,2 Parking,N/A
Ysabella Dimitrakopoulos,BigginScott Richmond,$750 weekly,"1/30 Type St,",RICHMOND VIC 3121,2 Beds,2 Baths,1 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Debbie Davut,Kay & Burton Stonnington,$650 Per Week,"706/6 St Kilda Road,",ST KILDA VIC 3182,1 Bed,1 Bath,1 Parking,N/A
Clementina Tralongo,Dingle Partners,$420 pw,"1/16 Lyon Street,",ESSENDON VIC 3040,2 Beds,1 Bath,1 Parking,N/A
Angus Brayshaw,Richardson & Wrench Projects Victoria,$570 per week,"307/88 Mount Alexander Road,",TRAVANCORE VIC 3032,2 Beds,2 Baths,1 Parking,N/A
Debbie Davut,Kay & Burton Stonnington,$575 Per Week,"11/95 Osborne Street,",SOUTH YARRA VIC 3141,1 Bed,1 Bath,− Parking,N/A
Grace Morley,Marshall White Stonnington,$650.00,"5/414 Glenferrie Road,",KOOYONG VIC 3144,2 Beds,1 Bath,− Parking,N/A
Liam Mulligan,BigginScott Richmond,$675 weekly,"203/424 Gore Street,",FITZROY VIC 3065,2 Beds,1 Bath,1 Parking,N/A
Nicole Pedreros Gonzalez,Dingle Partners,$450 pw,"817/585 La Trobe Street,",DOCKLANDS VIC 3008,1 Bed,1 Bath,− Parking,N/A
Kayla Crea,HEDLEY REAL ESTATE,$520 weekly,"19 Rottness Dr,",ARMSTRONG CREEK VIC 3217,4 Beds,2 Baths,2 Parking,N/A
Anna Skapetis,BigginScott Richmond,$700 weekly,"159 Errol Street,",NORTH MELBOURNE VIC 3051,2 Beds,1 Bath,− Parking,N/A
Christian Neofotistos,Ray White Brunswick,$530,"412/3 Olive York Way,",BRUNSWICK WEST VIC 3055,2 Beds,1 Bath,1 Parking,N/A
Amy Ma,Fletchers Canterbury,$525 weekly,"5/245 Waverley Road,",MALVERN EAST VIC 3145,2 Beds,1 Bath,1 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Harry Whitford,BigginScott Richmond,$700 weekly,"6/507 Dandenong Road,",ARMADALE VIC 3143,2 Beds,1 Bath,2 Parking,N/A
Melanie Jones,Jellis Craig Inner West,$600.00,"12/11-15 Basil Street,",NEWPORT VIC 3015,2 Beds,2 Baths,1 Parking,N/A
Jayde Cashion,Jellis Craig Fitzroy,$470.00,"112/1 Turner Street,",ABBOTSFORD VIC 3067,1 Bed,1 Bath,1 Parking,N/A
Daniel Hamilton,McGrath,$675 pw,"7 Rothsay Avenue,",BURWOOD VIC 3125,3 Beds,1 Bath,3 Parking,N/A
Dimitra Kerhoulas,Biggin Scott Elsternwick,$440 per week,"103/338b Orrong Road,",CAULFIELD NORTH VIC 3161,1 Bed,1 Bath,1 Parking,N/A
Kerttu  Luik,Buxton St Kilda,$595.00,"2/236 Canterbury Road,",ST KILDA WEST VIC 3182,2 Beds,1 Bath,− Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
William Saritschniy,HEDLEY REAL ESTATE,$550 weekly,"6 Grandvalley Dr,",KEILOR EAST VIC 3033,2 Beds,2 Baths,2 Parking,N/A
Monique Wood,Buxton Camberwell,$690.00,"25 Leonard Street,",BURWOOD VIC 3125,3 Beds,2 Baths,3 Parking,N/A
Kim Te,Motion Property,$600 per week,"1003/8 Joseph Road,",FOOTSCRAY VIC 3011,2 Beds,2 Baths,1 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Stefano Lai,NOVUS on Sturt,$870,"304/153 Sturt Street,",SOUTHBANK VIC 3006,2 Beds,2 Baths,− Parking,N/A
Kai Seeto-Grossi,Gotham Property,$500,"T112/119 Turner Street,",ABBOTSFORD VIC 3067,1 Bed,1 Bath,1 Parking,N/A
Preet Sandhu,BigginScott Richmond,$550 weekly,"7/21-23 Hotham St,",EAST MELBOURNE VIC 3002,1 Bed,1 Bath,− Parking,N/A
Liam Mulligan,BigginScott Richmond,"$1,300 weekly","401/35 Victoria Parade,",COLLINGWOOD VIC 3066,3 Beds,2 Baths,2 Parking,N/A
David Hua,Ray White Oakleigh,$525,"2/105 Kangaroo Road,",HUGHESDALE VIC 3166,2 Beds,1 Bath,1 Parking,N/A
JORDAN PALMA,Ray White CRE,$975 per week,"502/150 Clarendon Street,",EAST MELBOURNE VIC 3002,1 Bed,1 Bath,1 Parking,N/A
Tom Koller,Biggin & Scott Stonnington,$900 Per Week,"1/23 Alfred Street,",PRAHRAN VIC 3181,2 Beds,1 Bath,− Parking,N/A
Daniel Hamilton,McGrath,$410 pw,"5/87a Clyde Street,",THORNBURY VIC 3071,1 Bed,1 Bath,1 Parking,N/A
Steven Biggins,RT Edgar Glen Eira,"$1,200.00","346a Balaclava Road,",CAULFIELD NORTH VIC 3161,4 Beds,1 Bath,2 Parking,N/A
Greer Eastick,Wilson Glen Eira PTY LTD,$430 per week,"6/45 Alexandra Street,",ST KILDA EAST VIC 3183,1 Bed,1 Bath,− Parking,N/A
Ismaeel Hussain,Samma Real Estate,$760 per week,"3603/228 La Trobe Street,",MELBOURNE VIC 3000,2 Beds,1 Bath,− Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Carson Mair,Dingle Partners,$470 pw,"G1/432 Geelong Road,",WEST FOOTSCRAY VIC 3012,2 Beds,1 Bath,1 Parking,N/A
Karen Pearce,Thomson,$430 per week,"9/47 Kooyong Road,",ARMADALE VIC 3143,1 Bed,1 Bath,1 Parking,N/A
Tom Koller,Biggin & Scott Stonnington,$875 Per Week,"97 Union Street,",WINDSOR VIC 3181,3 Beds,1 Bath,2 Parking,N/A
Carson Mair,Dingle Partners,$750 pw,"1609/3-5 St Kilda Road,",ST KILDA VIC 3182,2 Beds,2 Baths,1 Parking,N/A
Carson Mair,Dingle Partners,$500 pw,"142A St Kilda Road,",ST KILDA VIC 3182,1 Bed,1 Bath,1 Parking,N/A
Elizabeth Lopez,Beck & Small Property,"$1,250.00","1C Hazel Avenue,",HIGHETT VIC 3190,4 Beds,3 Baths,2 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Evelyne Surja,Kay & Burton Stonnington,$1375 Per Week,"6 Turnbull Avenue,",TOORAK VIC 3142,3 Beds,2 Baths,2 Parking,N/A
Leasing Team,Besser & Co. Estate Agents,$495 Per Week,"109/33 Racecourse Road,",NORTH MELBOURNE VIC 3051,1 Bed,1 Bath,1 Parking,N/A
Certainty  Property Vic,Certainty Property,$240,"6 Songlark Street,",MELTON SOUTH VIC 3338,1 Bed,1 Bath,− Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
David Hua,Ray White Oakleigh,$800,"1/56 Station Street,",BURWOOD VIC 3125,4 Beds,3 Baths,4 Parking,N/A
Stephanie Allen,Dingle Partners,$530 pw,"101/151 Princes Street,",CARLTON VIC 3053,1 Bed,1 Bath,1 Parking,N/A
Frazer Downes,Hodges South Melbourne,$500 Per Week,"3008/288 Spencer Street,",MELBOURNE VIC 3000,− 0 Beds,1 Bath,− Parking,N/A
Ashleigh Coutts,Marshall White Bayside,$750.00,"22/16-20 Warleigh Grove,",BRIGHTON VIC 3186,2 Beds,2 Baths,2 Parking,N/A
Daniel Hamilton,McGrath,$530 pw,"201/11 Hoddle Street,",COLLINGWOOD VIC 3066,1 Bed,1 Bath,1 Parking,N/A
Frazer Downes,Hodges South Melbourne,$480 Per Week,"403/17 Singers Lane,",MELBOURNE VIC 3000,1 Bed,1 Bath,− Parking,N/A
Seyanna Roberts,Wilson Glen Eira PTY LTD,$375 per week,"7/61 Holywood Grove,",CARNEGIE VIC 3163,1 Bed,1 Bath,− Parking,N/A
Jayde Cashion,Jellis Craig Fitzroy,$940.00,"154 Capel Street,",NORTH MELBOURNE VIC 3051,3 Beds,2 Baths,− Parking,N/A
Frazer Downes,Hodges South Melbourne,$570 Per Week,"M5/55 Queens Road,",MELBOURNE VIC 3004,1 Bed,1 Bath,1 Parking,N/A
Stephanie Allen,Dingle Partners,$450 pw,"3/126 Albert Street,",EAST MELBOURNE VIC 3002,2 Beds,1 Bath,− Parking,N/A
Shermta Flomo,Woodards South Yarra,$550 pw,"25/16 Kensington Road,",SOUTH YARRA VIC 3141,2 Beds,2 Baths,1 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Preet Sandhu,BigginScott Richmond,$700 weekly,"116/71 Abinger Street,",RICHMOND VIC 3121,2 Beds,2 Baths,1 Parking,N/A
Harry Whitford,BigginScott Richmond,"$1,250 weekly","443 Punt Rd,",RICHMOND VIC 3121,3 Beds,2 Baths,2 Parking,N/A
Stephanie Allen,Dingle Partners,$670 pw,"206/13 Wellington Street,",ST KILDA VIC 3182,2 Beds,2 Baths,1 Parking,N/A
Liam Mulligan,BigginScott Richmond,$725 weekly,"13 Ellis St,",RICHMOND VIC 3121,2 Beds,2 Baths,1 Parking,N/A
Louise Reid,Biggin Scott Elsternwick,$550 per week,"261 Centre Road,",BENTLEIGH VIC 3204,2 Beds,1 Bath,1 Parking,N/A
Preet Sandhu,BigginScott Richmond,$750 weekly,"7/59 Westbank Terrace,",RICHMOND VIC 3121,2 Beds,1 Bath,1 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jay Jacob-Green,Buxton St Kilda,$750.00,"2/16 Chusan Street,",BALACLAVA VIC 3183,2 Beds,2 Baths,1 Parking,N/A
Kim Te,Motion Property,$560 per week,"909/7 Claremont Street,",SOUTH YARRA VIC 3141,1 Bed,1 Bath,1 Parking,N/A
Brad Graham,Gary Peer,$399 weekly,"3/7-9 Miller St,",PRAHRAN VIC 3181,1 Bed,1 Bath,− Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Shermta Flomo,Woodards South Yarra,$595 pw,"9/2 Davidson Street,",SOUTH YARRA VIC 3141,2 Beds,1 Bath,1 Parking,N/A
Mina Boa,Dingle Partners,$510 pw,"702/594 St Kilda Road,",MELBOURNE VIC 3004,1 Bed,1 Bath,1 Parking,N/A
Zarah Baker,Buxton Real Estate Brighton,$380.00,"13/19 New Street,",BRIGHTON VIC 3186,1 Bed,1 Bath,− Parking,N/A
Maria Gutterson,Dingle Partners,$570 pw,"2108/628 Flinders Street,",DOCKLANDS VIC 3008,1 Bed,1 Bath,− Parking,N/A
Janelle De Iesi,McGrath Northcote,$530 per week,"502/101 Parkview Road,",ALPHINGTON VIC 3078,1 Bed,1 Bath,1 Parking,N/A
Leasing Team,Besser & Co. Estate Agents,$620 Per Week,"6/13 Lewisham Road,",WINDSOR VIC 3181,2 Beds,1 Bath,− Parking,N/A
Kim Te,Motion Property,$500 per week,"609/2 Joseph Road,",FOOTSCRAY VIC 3011,1 Bed,1 Bath,1 Parking,N/A
George Laliotis,MPC Moss Property Consultants,$550 per week,"322 Bridge Road,",RICHMOND VIC 3121,3 Beds,1 Bath,− Parking,N/A
Tom Koller,Biggin & Scott Stonnington,$850 Per Week,"3 Hillingdon Place,",PRAHRAN VIC 3181,2 Beds,2 Baths,1 Parking,N/A
Cameron  Gibson,Buxton Stonnington,$620.00,"2/75 Bambra Road,",CAULFIELD NORTH VIC 3161,3 Beds,1 Bath,1 Parking,N/A
Tom Koller,Biggin & Scott Stonnington,$650 Per Week,"6/23 Irving Avenue,",PRAHRAN VIC 3181,2 Beds,2 Baths,1 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Maria Gutterson,Dingle Partners,$700 pw,"806/241 Harbour Esplanade,",DOCKLANDS VIC 3008,2 Beds,2 Baths,1 Parking,N/A
Tom Koller,Biggin & Scott Stonnington,$350 Per Week,"3/8 Bailey Avenue,",ARMADALE VIC 3143,1 Bed,1 Bath,− Parking,N/A
Sara Huckett,Buxton Real Estate Brighton,$700.00,"1/1 Robinson Street,",BRIGHTON EAST VIC 3187,3 Beds,1 Bath,2 Parking,N/A
Debbie Davut,Kay & Burton Stonnington,$1200 Per Week,"95/1 Albert Road,",MELBOURNE VIC 3004,2 Beds,2 Baths,2 Parking,N/A
Maria Gutterson,Dingle Partners,$650 pw,"G5/380 Queensberry Street,",NORTH MELBOURNE VIC 3051,2 Beds,2 Baths,1 Parking,N/A
Daniel Hamilton,McGrath,$780 pw,"1002/582 St Kilda Road,",MELBOURNE VIC 3004,2 Beds,2 Baths,1 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Matthew Swinnerton,Ray White Oakleigh,$530,"1/47 Oakwood Avenue,",DANDENONG NORTH VIC 3175,2 Beds,1 Bath,3 Parking,N/A
Carson Mair,Dingle Partners,$600 pw,"908/33-43 Batman Street,",WEST MELBOURNE VIC 3003,2 Beds,1 Bath,1 Parking,N/A
Angus Brayshaw,Richardson & Wrench Projects Victoria,$650 per week,"1107/6 Joseph Road,",FOOTSCRAY VIC 3011,2 Beds,2 Baths,1 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Angus Brayshaw,Richardson & Wrench Projects Victoria,$575 per week,"313/9 Martin Street,",HEIDELBERG VIC 3084,2 Beds,2 Baths,1 Parking,N/A
Tania Paahi,Performance Asset Management Melbourne,$700 per Week,"46 Horn Rd,",ASPLEY QLD 4034,4 Beds,1 Bath,4 Parking,N/A
Lauren Jackson,Belle Property Glen Iris,"$1,030 per week","57a Castlewood Street,",BENTLEIGH EAST VIC 3165,4 Beds,3 Baths,2 Parking,N/A
Barbara Baltas,Dingle Partners,$600.00 pw,"307/166 Wellington Parade,",EAST MELBOURNE VIC 3002,2 Beds,1 Bath,− Parking,N/A
Nicole Pedreros Gonzalez,Dingle Partners,$550 pw,"s2403/245 Harbour Esplanade,",DOCKLANDS VIC 3008,1 Bed,1 Bath,1 Parking,N/A
Simone Buckley,Buxton Real Estate Sandringham,$925.00,"104/4 Littlewood Street,",HAMPTON VIC 3188,3 Beds,2 Baths,2 Parking,N/A
Jade Sterland,Jellis Craig Port Phillip Pty Ltd,$950.00 per week,"6 King Street,",ST KILDA EAST VIC 3183,3 Beds,1 Bath,− Parking,N/A
Darren McMullin,Kay & Burton Stonnington,$1250 Per Week,"g02/1 Wallace Avenue,",TOORAK VIC 3142,2 Beds,2 Baths,2 Parking,N/A
Adele Curcio,Thomson,$450 per week,"1/281 Balaclava Road,",CAULFIELD NORTH VIC 3161,2 Beds,1 Bath,− Parking,N/A
Alvin Vitor,Buxton Real Estate Sandringham,$600.00,"1/4 Stanley Street,",BLACK ROCK VIC 3193,2 Beds,1 Bath,2 Parking,N/A
Meggan Eade,Abercrombys,$625.00,"7/844 Malvern Rd,",ARMADALE VIC 3143,2 Beds,1 Bath,1 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
