SA2,SA2 NAME,2016-17Median ($),2017-18Median ($),2018-19Median ($),2019-20Median ($),2020-21Median ($),2016-17Mean ($),2017-18Mean ($),2018-19Mean ($),2019-20Mean ($),2020-21Mean ($)
206041124,Parkville," 45,347 "," 46,314 "," 49,544 "," 47,865 "," 49,344 "," 68,182 "," 66,540 "," 72,362 "," 70,541 "," 72,917 "
206041125,South Yarra - West," 64,865 "," 68,512 "," 70,451 "," 69,578 "," 72,567 "," 125,562 "," 136,452 "," 135,051 "," 130,785 "," 136,077 "
206041127,West Melbourne - Industrial," 58,023 "," 93,272 "," 82,813 "," 90,927 "," 48,626 "," 110,328 "," 230,905 "," 108,884 "," 93,419 "," 60,458 "
206041503,Melbourne CBD - East," 31,790 "," 33,425 "," 33,544 "," 34,764 "," 40,810 "," 62,509 "," 64,563 "," 66,325 "," 69,369 "," 74,664 "
206041504,Melbourne CBD - North," 24,283 "," 23,595 "," 25,663 "," 25,000 "," 29,100 "," 42,972 "," 40,555 "," 41,849 "," 41,595 "," 44,257 "
206041505,Melbourne CBD - West," 27,991 "," 30,439 "," 31,746 "," 32,044 "," 39,300 "," 49,560 "," 50,491 "," 51,404 "," 53,153 "," 59,201 "
206041506,North Melbourne," 45,287 "," 48,474 "," 50,967 "," 52,140 "," 55,800 "," 62,610 "," 65,083 "," 67,392 "," 69,599 "," 74,447 "
206041507,Royal Botanic Gardens Victoria," 41,784 ", np ," 17,122 ", np ," 23,341 "," 55,727 ", np ," 38,825 ", np ," 45,072 "
206041508,Southbank (West) - South Wharf," 51,717 "," 55,057 "," 57,127 "," 56,960 "," 59,683 "," 85,897 "," 89,028 "," 94,439 "," 93,834 "," 88,995 "
206041509,Southbank - East," 49,796 "," 50,290 "," 52,728 "," 50,752 "," 54,392 "," 66,374 "," 65,331 "," 67,490 "," 65,565 "," 69,947 "
206041510,West Melbourne - Residential," 44,243 "," 48,216 "," 48,646 "," 49,437 "," 54,727 "," 63,040 "," 64,929 "," 65,240 "," 67,726 "," 71,654 "
206051128,Albert Park," 65,352 "," 66,627 "," 67,518 "," 68,933 "," 73,107 "," 116,366 "," 117,349 "," 120,883 "," 119,591 "," 127,405 "
206051129,Elwood," 63,791 "," 65,893 "," 68,634 "," 70,277 "," 74,437 "," 86,685 "," 88,979 "," 92,204 "," 95,875 "," 100,371 "
206051130,Port Melbourne," 72,568 "," 74,967 "," 76,501 "," 78,187 "," 79,389 "," 101,861 "," 106,807 "," 107,753 "," 108,852 "," 110,534 "
206051134,St Kilda East," 54,108 "," 56,841 "," 60,012 "," 61,274 "," 64,713 "," 67,422 "," 71,598 "," 73,482 "," 76,797 "," 85,998 "
206051511,Port Melbourne Industrial," 53,416 "," 50,144 "," 47,866 "," 56,844 "," 63,931 "," 94,482 "," 77,505 "," 63,538 "," 80,945 "," 83,175 "
206051512,South Melbourne," 61,620 "," 63,608 "," 65,936 "," 68,701 "," 73,321 "," 92,629 "," 95,769 "," 95,239 "," 99,160 "," 102,038 "
206051513,St Kilda - Central," 53,464 "," 56,940 "," 59,644 "," 60,523 "," 64,644 "," 67,379 "," 70,677 "," 73,951 "," 74,840 "," 80,614 "
206051514,St Kilda - West," 52,523 "," 56,945 "," 59,610 "," 59,592 "," 63,946 "," 74,720 "," 80,236 "," 81,139 "," 82,655 "," 88,181 "
206061135,Armadale," 63,296 "," 66,098 "," 69,563 "," 72,012 "," 73,321 "," 112,641 "," 107,752 "," 111,378 "," 115,616 "," 115,373 "
206061136,Prahran - Windsor," 58,511 "," 63,435 "," 66,724 "," 69,288 "," 72,577 "," 78,749 "," 83,928 "," 88,569 "," 90,637 "," 97,288 "
206061138,Toorak," 70,252 "," 72,451 "," 75,759 "," 74,766 "," 75,504 "," 175,704 "," 175,856 "," 189,017 "," 179,086 "," 192,567 "
206061515,South Yarra - North," 60,949 "," 64,506 "," 66,952 "," 69,612 "," 72,609 "," 87,132 "," 89,449 "," 92,889 "," 95,862 "," 106,472 "
206061516,South Yarra - South," 60,380 "," 63,251 "," 67,003 "," 68,906 "," 71,455 "," 87,758 "," 95,897 "," 97,035 "," 95,520 "," 105,218 "
206071139,Abbotsford," 58,219 "," 61,476 "," 64,090 "," 67,457 "," 71,394 "," 72,786 "," 75,299 "," 78,031 "," 81,580 "," 84,694 "
206071140,Carlton North - Princes Hill," 54,627 "," 57,240 "," 60,116 "," 60,975 "," 64,397 "," 81,757 "," 83,076 "," 88,955 "," 91,136 "," 97,108 "
206071141,Collingwood," 56,572 "," 60,589 "," 63,876 "," 67,156 "," 71,769 "," 70,336 "," 73,039 "," 77,546 "," 79,784 "," 84,909 "
206071142,Fitzroy," 54,508 "," 58,258 "," 60,939 "," 64,283 "," 70,355 "," 81,706 "," 83,198 "," 85,971 "," 90,396 "," 95,637 "
206071143,Fitzroy North," 58,990 "," 62,727 "," 65,192 "," 67,265 "," 71,181 "," 84,776 "," 87,719 "," 93,183 "," 96,248 "," 101,261 "
206071145,Clifton Hill - Alphington," 64,143 "," 68,435 "," 70,982 "," 71,765 "," 76,726 "," 88,158 "," 94,268 "," 99,599 "," 99,914 "," 107,446 "
