agent_name,agent_company,price,address1,address2,bed,bath,parking,floor_space,longitude,latitude
Troy Colman,Elders Sylvania Heights,"Auction $1,600,000 - $1,650,000","1 Skillcorn Avenue,",JANNALI NSW 2226,4 Beds,2 Baths,2 Parking,815m²,151.06290461071802,-34.009230349999996
Kristal Sawtell,Salt Property Newcastle,"Auction Guide $1,100,000","10 Galena Street,",ADAMSTOWN HEIGHTS NSW 2289,3 Beds,1 Bath,1 Parking,533m²,151.703498,-32.9485831
Sam Tsiaousis,Harcourts Newcastle,Price Guide On Request,"42 Sheridan Avenue,",ADAMSTOWN HEIGHTS NSW 2289,3 Beds,2 Baths,1 Parking,594m²,151.7118293,-32.9511553
Connor  Sun,Harcourts Blackburn,"$1,000,000 - $1,100,000","18 Tainton Road,",BURWOOD EAST VIC 3151,3 Beds,2 Baths,1 Parking,592m²,145.1562153,-37.8494161
Adam Natonewski,Ray White Highton,"ESR $750,000-$800,000","15 Parkland Drive,",HAMLYN HEIGHTS VIC 3215,4 Beds,2 Baths,2 Parking,703m²,144.32133779187956,-38.111045649999994
Katie Kepner,Salt Property Newcastle,"$3,400,000 - $3,650,000","17 Debs Parade,",DUDLEY NSW 2290,4 Beds,3 Baths,1 Parking,917m²,151.7273795,-32.9895545
Chelsea Perry,Craig Doyle Real Estate,Contact Agent,"6 Lake View Close,",SAMSONVALE QLD 4520,3 Beds,2 Baths,4 Parking,"45,769m²",152.8416274,-27.2830587
Robon Ryan,Colliers Toowoomba,"ABOVE $749,000","34 Lorraine Crescent,",CENTENARY HEIGHTS QLD 4350,4 Beds,2 Baths,2 Parking,630m²,151.9665909,-27.5943147
Dominic  Parker,Colliers Toowoomba,"Offers Above $619,000","29 Hibiscus Drive,",CENTENARY HEIGHTS QLD 4350,3 Beds,1 Bath,5 Parking,608m²,151.9538862,-27.5886903
ZAC RABIN,TRG,Auction,"35 George Street,",DOVER HEIGHTS NSW 2030,5 Beds,3 Baths,2 Parking,268m²,151.2801196,-33.8673397
Chelsea Stevens,Danielle Young Property,"M-H $500,000","182 Upper Miles Avenue,",KELSO QLD 4815,3 Beds,1 Bath,10 Parking,809m²,146.7291802,-19.3850087
Jenish  Patel,Properties 7,"Offers over $729,000","9 wade court,",BORONIA HEIGHTS QLD 4124,4 Beds,2 Baths,2 Parking,660m²,153.0218939,-27.6941053
Jennie Ross,Eastell and Co.,Contact Agent,"36 Lorikeet Drive,",PEREGIAN BEACH QLD 4573,6 Beds,4 Baths,2 Parking,513m²,153.0951756,-26.4933596
Nadira Mikho,RAY BINER REAL ESTATE,"$655,000","14 Colignan Court,",MEADOW HEIGHTS VIC 3048,3 Beds,1 Bath,6 Parking,756m²,144.9258632,-37.6546276
Brooke Degotardi,Belle Property Hunter Region,EOI | Closing 10th Oct at 5.00pm,"254 Scenic Drive,",MEREWETHER HEIGHTS NSW 2291,4 Beds,2 Baths,2 Parking,542m²,151.7415222,-32.9471276
Megan Manly,Property Lane Realty,"Offers Over $990,000 Considered","3 McKinnon Drive,",BURNSIDE QLD 4560,5 Beds,3 Baths,2 Parking,704m²,152.9385289,-26.6356572
