Agent Name,Agent Company,Price,Address Line 1,Address Line 2,Bedrooms,Bathrooms,Parking,Floor Space,Region,latitude,longitude
Daniel Hamilton,McGrath,$525 pw,"266/183 City Road,",SOUTHBANK VIC 3006,1 Bed,1 Bath,− Parking,,melbourne-vic,62.95639,-155.59583
Kerttu  Luik,Buxton St Kilda,$575.00,"6/39 Mitford Street,",ELWOOD VIC 3184,2 Beds,1 Bath,1 Parking,,melbourne-vic,-37.8676,144.98099
Mikaele Horsnell,Harcourts Melbourne City,$650 per week,"208/616 Little Collins Street,",MELBOURNE VIC 3000,2 Beds,1 Bath,1 Parking,,melbourne-vic,-37.814,144.96332
Victoria Ryan,HEDLEY REAL ESTATE,$450 weekly,"1502/565 Flinders St,",MELBOURNE VIC 3000,1 Bed,1 Bath,− Parking,,melbourne-vic,17.38298,-100.87314
Zarah Baker,Buxton Real Estate Brighton,$650.00,"2/59 Black Street,",BRIGHTON VIC 3186,2 Beds,1 Bath,2 Parking,,melbourne-vic,42.52948,-83.78022
Samantha Brennan,Buxton St Kilda,$695.00,"223/360 St Kilda Road,",MELBOURNE VIC 3004,2 Beds,2 Baths,1 Parking,,melbourne-vic,-37.8676,144.98099
Daniel Hamilton,McGrath,$550 pw Furnished,"1210/8 Marmion Place,",DOCKLANDS VIC 3008,1 Bed,1 Bath,1 Parking,,melbourne-vic,62.95639,-155.59583
Daniel Hamilton,McGrath,$325 pw Furnished,"28/38 Charnwood Road,",ST KILDA VIC 3182,1 Bed,1 Bath,1 Parking,,melbourne-vic,62.95639,-155.59583
Daniel Hamilton,McGrath,$515 pw,"321/20 Shamrock Street,",ABBOTSFORD VIC 3067,2 Beds,1 Bath,− Parking,,melbourne-vic,62.95639,-155.59583
Thea Toogood,Jellis Craig & Company Pty Ltd,$575.00,"15/1810 Malvern Road,",MALVERN EAST VIC 3145,2 Beds,1 Bath,1 Parking,,melbourne-vic,,
George Laliotis,MPC Moss Property Consultants,$625 per week,"1/32 Kelly Street,",CHADSTONE VIC 3148,2 Beds,1 Bath,2 Parking,,melbourne-vic,,
Daniel Hamilton,McGrath,$560 pw,"56/416 St Kilda Road,",MELBOURNE VIC 3004,1 Bed,1 Bath,− Parking,,melbourne-vic,62.95639,-155.59583
Elizabeth Lopez,Beck & Small Property,"$1,200.00","8 Wellington Street,",BRIGHTON VIC 3186,3 Beds,1 Bath,2 Parking,,melbourne-vic,,
Kimberley Drew,Buxton Stonnington,$550.00,"205/405 St Kilda Road,",MELBOURNE VIC 3004,2 Beds,1 Bath,1 Parking,,melbourne-vic,-37.8613,145.03776
Lauren Harris,The Agency Victoria,$625 per week,"29 Edmondshaw Drive,",DEER PARK VIC 3023,5 Beds,2 Baths,2 Parking,,melbourne-vic,-37.0,145.0
Daniel Hatchuel,Performance Asset Management Melbourne,$550 per week,"1/5 Northumberland Rd,",PASCOE VALE VIC 3044,2 Beds,1 Bath,1 Parking,,melbourne-vic,-37.814,144.96332
Kerttu Luik,Buxton Port Phillip,$530.00,"4/1-3 Graylings Avenue,",ST KILDA EAST VIC 3183,2 Beds,1 Bath,1 Parking,,melbourne-vic,-37.85159,144.96992
